KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE;OPEN VALUE;LOWEST VALUE;HIGHEST VALUE
189;XAKUR_CFNNTLER;BIST ARACI KURUMLAR GETIRI (EURO);BIST BROKERAGE HOUSES RETURN (EURO);EUR;17/02/2026;23072.34;23072.34;23072.34;23072.34
190;XYORT_CFNNTLTL;BIST MENKUL KIYM. Y.O. GETIRI;BIST INVESTMENT TRUSTS RETURN;TRY;17/02/2026;41180.24;41177.95;40789.43;41429.78
191;XYORT_CFNNTLUS;BIST MENKUL KIYM. Y.O. GETIRI (ABD DOLARI);BIST INVESTMENT TRUSTS RETURN (USD);USD;17/02/2026;5489.55;5489.55;5489.55;5489.55
192;XYORT_CFNNTLER;BIST MENKUL KIYM. Y.O. GETIRI (EURO);BIST INVESTMENT TRUSTS RETURN (EURO);EUR;17/02/2026;5433.95;5433.95;5433.95;5433.95
193;XUTEK_CFNNTLTL;BIST TEKNOLOJI GETIRI;BIST TECHNOLOGY RETURN;TRY;17/02/2026;54239.06;54495.8;54203.6;55184.34
194;XUTEK_CFNNTLUS;BIST TEKNOLOJI GETIRI (ABD DOLARI);BIST TECHNOLOGY RETURN (USD);USD;17/02/2026;7230.36;7230.36;7230.36;7230.36
195;XUTEK_CFNNTLER;BIST TEKNOLOJI GETIRI (EURO);BIST TECHNOLOGY RETURN (EURO);EUR;17/02/2026;7157.13;7157.13;7157.13;7157.13
196;XTKJS_CFCNTLTL;BIST TEKNOLOJI AGIRLIK SINIRLAMALI GETIRI;BIST TECHNOLOGY CAPPED RETURN;TRY;17/02/2026;48813.87;48562.89;48359.42;49277.24
197;XTKJS_CFCNTLUS;BIST TEKNOLOJI AGIRLIK SINIRLAMALI GETIRI (ABD DOLARI);BIST TECHNOLOGY CAPPED RETURN (USD);USD;17/02/2026;6507.15;6507.15;6507.15;6507.15
198;XTKJS_CFCNTLER;BIST TEKNOLOJI AGIRLIK SINIRLAMALI GETIRI (EURO);BIST TECHNOLOGY CAPPED RETURN (EURO);EUR;17/02/2026;6441.25;6441.25;6441.25;6441.25
199;XBLSM_CFNNTLTL;BIST BILISIM GETIRI;BIST INF. TECHNOLOGY RETURN;TRY;17/02/2026;9522.68;9443.28;9378.19;9582.39
200;XBLSM_CFNNTLUS;BIST BILISIM GETIRI (ABD DOLARI);BIST INF. TECHNOLOGY RETURN (USD);USD;17/02/2026;1269.42;1269.42;1269.42;1269.42
201;XBLSM_CFNNTLER;BIST BILISIM GETIRI (EURO);BIST INF. TECHNOLOGY RETURN (EURO);EUR;17/02/2026;1256.57;1256.57;1256.57;1256.57
202;XSADA_CFNNTLTL;BIST ADANA GETIRI;BIST ADANA RETURN;TRY;17/02/2026;82105.78;85378.91;81518.78;85911.82
203;XSADA_CFNNTLUS;BIST ADANA GETIRI (ABD DOLARI);BIST ADANA RETURN (USD);USD;17/02/2026;10945.14;10945.14;10945.14;10945.14
204;XSADA_CFNNTLER;BIST ADANA GETIRI (EURO);BIST ADANA RETURN (EURO);EUR;17/02/2026;10834.29;10834.29;10834.29;10834.29
205;XSANK_CFNNTLTL;BIST ANKARA GETIRI;BIST ANKARA RETURN;TRY;17/02/2026;62718.57;62954.83;62479.93;63402.58
206;XSANK_CFNNTLUS;BIST ANKARA GETIRI (ABD DOLARI);BIST ANKARA RETURN (USD);USD;17/02/2026;8360.72;8360.72;8360.72;8360.72
207;XSANK_CFNNTLER;BIST ANKARA GETIRI (EURO);BIST ANKARA RETURN (EURO);EUR;17/02/2026;8276.05;8276.05;8276.05;8276.05
208;XSANT_CFNNTLTL;BIST ANTALYA GETIRI;BIST ANTALYA RETURN;TRY;17/02/2026;15085.51;15127.82;14895.2;15162.48
209;XSANT_CFNNTLUS;BIST ANTALYA GETIRI (ABD DOLARI);BIST ANTALYA RETURN (USD);USD;17/02/2026;2010.98;2010.98;2010.98;2010.98
210;XSANT_CFNNTLER;BIST ANTALYA GETIRI (EURO);BIST ANTALYA RETURN (EURO);EUR;17/02/2026;1990.61;1990.61;1990.61;1990.61
211;XSAYD_CFNNTLTL;BIST AYDIN GETIRI;BIST AYDIN RETURN;TRY;17/02/2026;7961.44;8082.4;7839.78;8082.4
212;XSAYD_CFNNTLUS;BIST AYDIN GETIRI (ABD DOLARI);BIST AYDIN RETURN (USD);USD;17/02/2026;1061.3;1061.3;1061.3;1061.3
213;XSAYD_CFNNTLER;BIST AYDIN GETIRI (EURO);BIST AYDIN RETURN (EURO);EUR;17/02/2026;1050.55;1050.55;1050.55;1050.55
214;XSBAL_CFNNTLTL;BIST BALIKESIR GETIRI;BIST BALIKESIR RETURN;TRY;17/02/2026;13466.32;13840.28;13367.67;13840.28
215;XSBAL_CFNNTLUS;BIST BALIKESIR GETIRI (ABD DOLARI);BIST BALIKESIR RETURN (USD);USD;17/02/2026;1795.13;1795.13;1795.13;1795.13
216;XSBAL_CFNNTLER;BIST BALIKESIR GETIRI (EURO);BIST BALIKESIR RETURN (EURO);EUR;17/02/2026;1776.95;1776.95;1776.95;1776.95
217;XSBUR_CFNNTLTL;BIST BURSA GETIRI;BIST BURSA RETURN;TRY;17/02/2026;41816.42;43043.82;41690.17;43043.82
218;XSBUR_CFNNTLUS;BIST BURSA GETIRI (ABD DOLARI);BIST BURSA RETURN (USD);USD;17/02/2026;5574.35;5574.35;5574.35;5574.35
219;XSBUR_CFNNTLER;BIST BURSA GETIRI (EURO);BIST BURSA RETURN (EURO);EUR;17/02/2026;5517.9;5517.9;5517.9;5517.9
220;XSDNZ_CFNNTLTL;BIST DENIZLI GETIRI;BIST DENIZLI RETURN;TRY;17/02/2026;11083.31;11041.51;11023.9;11124.77
221;XSDNZ_CFNNTLUS;BIST DENIZLI GETIRI (ABD DOLARI);BIST DENIZLI RETURN (USD);USD;17/02/2026;1477.46;1477.46;1477.46;1477.46
222;XSDNZ_CFNNTLER;BIST DENIZLI GETIRI (EURO);BIST DENIZLI RETURN (EURO);EUR;17/02/2026;1462.5;1462.5;1462.5;1462.5
223;XSIST_CFNNTLTL;BIST ISTANBUL GETIRI;BIST ISTANBUL RETURN;TRY;17/02/2026;26633.77;26615.24;26613.97;26881.92
224;XSIST_CFNNTLUS;BIST ISTANBUL GETIRI (ABD DOLARI);BIST ISTANBUL RETURN (USD);USD;17/02/2026;3550.43;3550.43;3550.43;3550.43
225;XSIST_CFNNTLER;BIST ISTANBUL GETIRI (EURO);BIST ISTANBUL RETURN (EURO);EUR;17/02/2026;3514.47;3514.47;3514.47;3514.47
226;XSIZM_CFNNTLTL;BIST IZMIR GETIRI;BIST IZMIR RETURN;TRY;17/02/2026;27804.91;27902.55;27675.78;27999.81
227;XSIZM_CFNNTLUS;BIST IZMIR GETIRI (ABD DOLARI);BIST IZMIR RETURN (USD);USD;17/02/2026;3706.54;3706.54;3706.54;3706.54
228;XSIZM_CFNNTLER;BIST IZMIR GETIRI (EURO);BIST IZMIR RETURN (EURO);EUR;17/02/2026;3669.01;3669.01;3669.01;3669.01
229;XSKAY_CFNNTLTL;BIST KAYSERI GETIRI;BIST KAYSERI RETURN;TRY;17/02/2026;62115.2;62020.73;62020.73;62924.14
230;XSKAY_CFNNTLUS;BIST KAYSERI GETIRI (ABD DOLARI);BIST KAYSERI RETURN (USD);USD;17/02/2026;8280.29;8280.29;8280.29;8280.29
231;XSKAY_CFNNTLER;BIST KAYSERI GETIRI (EURO);BIST KAYSERI RETURN (EURO);EUR;17/02/2026;8196.43;8196.43;8196.43;8196.43
232;XSKOC_CFNNTLTL;BIST KOCAELI GETIRI;BIST KOCAELI RETURN;TRY;17/02/2026;85887.52;87479.28;85839.61;87479.28
233;XSKOC_CFNNTLUS;BIST KOCAELI GETIRI (ABD DOLARI);BIST KOCAELI RETURN (USD);USD;17/02/2026;11449.27;11449.27;11449.27;11449.27
234;XSKOC_CFNNTLER;BIST KOCAELI GETIRI (EURO);BIST KOCAELI RETURN (EURO);EUR;17/02/2026;11333.31;11333.31;11333.31;11333.31
235;XSKON_CFNNTLTL;BIST KONYA GETIRI;BIST KONYA RETURN;TRY;17/02/2026;13287.83;13119.45;12989.5;13303.99
236;XSKON_CFNNTLER;BIST KONYA GETIRI (EURO);BIST KONYA RETURN (EURO);EUR;17/02/2026;1753.4;1753.4;1753.4;1753.4
237;XSKON_CFNNTLUS;BIST KONYA GETIRI (ABD DOLARI);BIST KONYA RETURN (USD);USD;17/02/2026;1771.34;1771.34;1771.34;1771.34
238;XSMNS_CFNNTLTL;BIST MANISA GETIRI;BIST MANISA RETURN;TRY;17/02/2026;3761.25;3705.98;3677.19;3793.89
239;XSMNS_CFNNTLUS;BIST MANISA GETIRI (ABD DOLARI);BIST MANISA RETURN (USD);USD;17/02/2026;501.39;501.39;501.39;501.39
240;XSMNS_CFNNTLER;BIST MANISA GETIRI (EURO);BIST MANISA RETURN (EURO);EUR;17/02/2026;496.32;496.32;496.32;496.32
241;XSTKR_CFNNTLTL;BIST TEKIRDAG GETIRI;BIST TEKIRDAG RETURN;TRY;17/02/2026;66952.26;65974.13;65300.36;67506.39
242;XSTKR_CFNNTLUS;BIST TEKIRDAG GETIRI (ABD DOLARI);BIST TEKIRDAG RETURN (USD);USD;17/02/2026;8925.1;8925.1;8925.1;8925.1
243;XSTKR_CFNNTLER;BIST TEKIRDAG GETIRI (EURO);BIST TEKIRDAG RETURN (EURO);EUR;17/02/2026;8834.71;8834.71;8834.71;8834.71
