strategy,trades,total_return,avg_weekly_return,win_rate,max_drawdown,sharpe
A,205,2.64781538248771,0.007708164398761296,0.5804878048780487,-0.4565450582051974,0.87141972920199
B,205,1.1475546125481695,0.06277330893993677,0.631578947368421,-0.1777777777777778,0.4160964717003456
