entry_date,exit_date,ret_A,ret_B,equity_A,equity_B,n_A,n_B
2016-01-11,2016-01-18,0.05283007412023473,0.08823529411764697,1.0528300741202348,1.088235294117647,5,1
2016-01-18,2016-01-25,0.039172667783772396,0.022900763358778553,1.0940722368465112,1.113156713066906,5,1
2016-01-25,2016-02-01,0.06616468406977735,-0.0009871668311943749,1.1664611807469754,1.112057841681845,5,1
2016-02-01,2016-02-08,0.08881544674836594,0.0421224715013521,1.2700609516296444,1.1589004664259437,5,3
2016-02-08,2016-02-15,-0.0018551427475486993,-0.006644249629089494,1.2677048072662838,1.1512004424317415,5,4
2016-02-15,2016-02-22,0.1804590558350488,0.0,1.4964736198631097,1.1512004424317415,5,0
2016-02-22,2016-02-29,0.06427032002834318,0.04553378611348857,1.592652458325685,1.2036189571511817,5,3
2016-02-29,2016-03-07,0.03172382887087608,0.05040385624655561,1.6431774923643891,1.264285994043059,5,5
2016-03-07,2016-03-14,0.024117639379103918,0.014255913970911905,1.6828070545610936,1.282309546408766,5,5
2016-03-14,2016-03-21,0.05265198095504551,0.061682931846141154,1.7714101795488604,1.361406158765554,5,4
2016-03-21,2016-03-28,0.00012553430605779514,0.002762090601135747,1.7716325522964937,1.3651664859210084,5,5
2016-03-28,2016-04-04,0.06917184368981885,0.05693277310924372,1.8941796422797414,1.4428891997202928,5,2
2016-04-04,2016-04-11,0.048079670012472306,0.022919658607466652,1.9852511744248944,1.4759597275862828,5,5
2016-04-11,2016-04-18,0.05081461968027594,0.04428640411690834,2.0861309578231166,1.541324676542451,5,5
2016-04-18,2016-04-25,0.07634818060734676,0.06890485991623847,2.2454032609615733,1.6475294374650504,5,5
2016-04-25,2016-05-02,0.042991925742960714,-0.0005764915356583448,2.3419374712198353,1.646579650689604,5,3
2016-05-02,2016-05-09,0.06888831885612193,0.25159235668789814,2.5032696064783275,2.0608465054809377,5,1
2016-05-09,2016-05-16,0.03874318427550483,0.0,2.6002542421333876,2.0608465054809377,5,0
2016-05-16,2016-05-24,0.08877539878290688,0.045143638850889234,2.831092849415725,2.1538806158514863,5,1
2016-05-23,2016-05-30,0.03948967145664191,0.0211609159764361,2.9428917759024,2.199458702586794,5,2
2016-05-30,2016-06-06,0.10399190558428728,0.0,3.248928699606818,2.199458702586794,5,0
2016-06-06,2016-06-13,0.011328908111480795,0.019744483159117365,3.2857355143054168,2.242885877899193,5,1
2016-06-13,2016-06-20,0.025143029094640234,0.0,3.3683488579388903,2.242885877899193,5,0
2016-06-20,2016-06-27,0.012147207806452797,0.0,3.4092648914809023,2.242885877899193,5,0
2016-06-27,2016-07-04,0.06708700715010263,0.0,3.6379822696322752,2.242885877899193,5,0
2016-07-04,2016-07-14,0.0722815079390716,0.0,3.900941113936902,2.242885877899193,5,0
2016-07-11,2016-07-18,0.03233409231512696,0.04122786728441913,4.0270745040308125,2.335355279207319,4,2
2016-07-18,2016-07-25,0.04061420862855836,0.0,4.190630948100268,2.335355279207319,5,0
2016-07-25,2016-08-01,0.08667324366135984,0.11639485036247565,4.5538465253597975,2.6071786074738723,5,4
2016-08-01,2016-08-08,0.03957314161117202,0.06502617823261062,4.734056538783404,2.776713468287718,5,5
2016-08-08,2016-08-15,0.014419232051298247,0.056247334754797464,4.802317998560088,2.9328962002566517,5,5
2016-08-15,2016-08-22,0.029799629658196113,0.0393258426966292,4.945425296418069,3.0482348148734864,5,1
2016-08-22,2016-08-29,0.12677046612684492,0.2855787476280838,5.572359166440478,3.9187458957813806,5,1
2016-08-29,2016-09-06,0.0719668908462419,0.05742378637651302,5.973384530327755,4.143775122964568,5,2
2016-09-05,2016-09-16,0.055570628927976554,0.015094339622641506,6.305329265506714,4.206322671990448,5,1
2016-09-16,2016-09-23,0.12861023724499274,0.16903637490732554,7.116259158251328,4.917344208154209,5,5
2016-09-23,2016-09-30,0.055077558965328885,0.038370294526722,7.508205341652477,5.106024153710356,5,4
2016-09-30,2016-10-07,0.043738773271975354,0.05615289206155342,7.836605032770449,5.392742176877339,5,3
2016-10-07,2016-10-14,0.07230407093878566,0.01867816091954011,8.403223478979129,5.493468683054645,5,1
2016-10-14,2016-10-21,0.03579763695243865,0.055027245742475715,8.704039022309832,5.795759134255687,5,3
2016-10-21,2016-10-28,0.07264323419393119,0.032258064516129004,9.336328567440601,5.98271910632845,5,1
2016-10-28,2016-11-04,-0.002904812834224557,0.0,9.309208280393362,5.98271910632845,4,0
2016-11-04,2016-11-11,0.06161888654360621,0.018867924528301883,9.88283132923372,6.095600598900686,5,1
2016-11-11,2016-11-18,0.03611776759393006,0.006459695954047273,10.239777134352996,6.1349763254268925,5,4
